hi	hai
we had to let tom go	kita harus membiarkan tom pergi
we have no more rice	kami kehabisan nasi
we have two children	kami punya dua orang anak
we met along the way	kami bertemu di tengah perjalanan
we must cut spending	kita harus memotong pengeluaran
we must do something	kita harus melakukan sesuatu
we need your support	kami membutuhkan dukunganmu
we ran down the hill	kami berlari menuruni bukit
we ran out of cheese	kita kehabisan keju
we took a wrong turn	kita salah belok
we were all laughing	kami semua tertawa
we ll need more time	kita akan membutuhkan waktu lebih
we re going to fight	kita akan bertarung
we re really married	kami berdua benar benar sudah menikah
welcome to australia	selamat datang di australia
welcome to australia	selamat datang di australia
were you intoxicated	apa kau mabuk
what a useful gadget	gawai yang sangat berguna
what did you do then	lalu apa yang kau lakukan
what grade is tom in	kelas berapa tom
what grade is tom in	tom kelas berapa
what is the internet	apa itu internet
what re you drinking	kamu minum apa
what s our situation	bagaimana situasi kita
when are you leaving	kapan kamu akan pergi
when are you leaving	kamu kapan akan pergi
when are you leaving	kapan kamu berangkat
when did you come in	kapan kamu masuk
when is tom arriving	kapan tom akan tiba
when will you return	kapan kamu akan kembali
when s your birthday	kapan ulang tahunmu
where are the knives	ada di mana pisau pisaunya
where are you headed	kamu menuju ke mana
where are you off to	kau mau pergi ke mana
where are you off to	anda akan pergi ke mana
where are your boots	di mana sepatu botmu
where are your boots	di mana sepatumu
where have they gone	ke mana mereka pergi
where is tom s house	di mana rumah tom
where is the library	perpustakaan ada dimana
where is the station	ada di mana stasiunnya
where is the station	stasiunnya di mana
where is your jacket	di mana jaketmu
where were you going	ke mana kamu pergi
where s the bathroom	kamar mandinya di mana
where s the entrance	di mana pintu masuknya
where s the restroom	di mana kamar kecilnya
where s your brother	di mana kakakmu
which shelf is it on	di rak manakah itu
which shelf is it on	di rak yang manakah itu
who are these people	siapa orang orang ini
who are these people	mereka ini siapa
who deleted the file	siapa yang menghapus berkasnya
who do you live with	dengan siapa kamu tinggal
who invited you guys	siapa yang mengundang kalian
whose pencil is this	pensil siapa ini
whose pencil is this	ini pensil siapa
why are they leaving	mengapa mereka pergi
why are you laughing	mengapa kalian tertawa
why do you need this	kenapa kau membutuhkan ini
why do you work here	kenapa kau bekerja di sini
yesterday was monday	kemarin adalah hari senin
yesterday was hotter	kemarin lebih panas
you are new students	kalian adalah para siswa baru
you are not a coward	kamu bukan pengecut
you are the only one	kaulah satu satunya
you could ve done it	kau harusnya bisa melakukannya
you did that in	kamu melakukan itu pada tahun
you just made my day	kau baru saja membuatku merasa sangat bahagia
you let me down tom	kamu mengecewakanku tom
you look happy today	kamu terlihat bahagia hari ini
you may use this car	kamu boleh menggunakan mobil ini
you re joking right	kamu bercanda kan
you re not ready yet	kamu belum siap
you re totally right	kau memang benar
you ve done it again	kamu telah melakukannya lagi
your answer is right	jawabanmu benar
your answer is wrong	jawabanmu salah
your guess was right	tebakanmu benar
yuck who d buy this	ih siapa yang akan membeli ini
says who says me	kata siapa kataku
says who says me	kata siapa kata aku
a girl sat next to me	seorang gadis duduk di sebelahku
above all be patient	di atas segalanya bersabarlah
africa is a continent	afrika adalah sebuah benua
always tell the truth	selalu katakan yang sebenarnya
am i imagining things	apa aku sedang berhalusinasi
any child can do that	semua anak bisa melakukan itu
are these books yours	apakah buku buku ini milikmu
are they all the same	apakah mereka semua sama
are they going to die	apakah mereka akan mati
are you a real doctor	apakah anda dokter sungguhan
are you a real doctor	apakah kamu dokter sungguhan
are you an instructor	apakah anda seorang instruktur
are you being serious	apa kau serius
are you in a bad mood	apa suasana hatimu sedang buruk
are you talking to me	apakah kau sedang bicara padaku
both of them survived	keduanya selamat
brad pitt is an actor	brad pitt adalah seorang aktor
call me at the office	hubungi aku melalui kantor
can i ask you a favor	boleh minta tolong
can i buy you a drink	mau aku traktir minum
can i use your pencil	bolehkah aku menggunakan pensilmu
can you get a day off	bisakah aku mendapatkan hari libur
can you guess her age	bisakah kamu menebak umurnya
can you keep a secret	bisakah kau menjaga rahasia
can you speak english	apa anda bisa berbahasa inggris
cats don t like water	kucing tidak suka air
did they kick you out	apakah mereka mengusirmu
did you order a pizza	apakah kamu memesan pizza
did you read my email	apakah kamu sudah membaca e mail ku
did you see something	kamu melihat sesuatu
did you write it down	kamu menuliskannya
dinner s getting cold	makan malamnya mendingin
do they sell red wine	apakah mereka menjual anggur merah
do you believe in god	apakah anda percaya pada tuhan
do you have a bicycle	apakah kamu punya sepeda
do you have a bicycle	apakah anda punya sepeda
do you have a lighter	apa kau punya korek api
do you have a vacancy	apa ada kamar yang kosong
do you have any sugar	kamu punya gula
do you have some milk	apa kau punya susu
do you like chocolate	apakah kamu suka cokelat
do you like surprises	apakah kamu menyukai kejutan
do you like this city	apakah kamu suka kota ini
do you understand her	apa kamu mengerti dia
does tom like to swim	apakah tom suka berenang
does she have a piano	apakah ia memiliki sebuah piano
does your mother know	ibumu tahu
does your mother know	apakah ibumu tahu
does your mother work	apakah ibumu bekerja
don t close your eyes	jangan tutup matamu
don t forget about us	jangan lupakan kami
don t forget to knock	jangan lupa mengetuk pintu
don t go anywhere ok	jangan ke mana mana ya
don t make me hit you	jangan sampai aku memukulmu
don t point at others	jangan menuduh orang lain
don t touch my camera	jangan sentuh kameraku
don t touch that book	jangan sentuh buku itu
don t waste your time	jangan sia siakan waktumu
eat it while it s hot	makanlah selagi masih panas
everyone stared at me	semua orang menatap padaku
everything s so cheap	semuanya sangat murah
french is interesting	bahasa prancis itu menarik
get a picture of this	coba pahami ini
give me back my money	kembalikan uang saya
give me my money back	kembalikan uang saya
has tom said anything	apakah tom mengatakan sesuatu
have you eaten dinner	kamu sudah makan malam
have you eaten dinner	apa kau sudah makan malam
haven t we met before	bukankah kita pernah bertemu sebelumnya
he called me a coward	dia memanggilku pengecut
he crossed the street	dia menyeberang jalan
he explained it to me	dia menjelaskannya padaku
he forgot my birthday	dia melupakan hari ulang tahunku
he forgot my birthday	dia lupa ulang tahunku
he got a lot of money	dia punya banyak uang
he has a lot of money	dia punya banyak uang
he has an eye for art	dia punya selera seni yang tinggi
he has just come back	dia baru saja balik
he is a perfectionist	dia perfeksionis
he is a perfectionist	dia orang yang perfeksionis
he is above suspicion	dia bebas dari kecurigaan
he is in the bathroom	dia ada di kamar mandi
he is mad about music	dia tergila gila soal musik
he isn t happy at all	dia tidak senang sama sekali
he likes italian food	dia suka makanan italia
he lived a happy life	dia hidup dengan bahagia
he often plays guitar	dia sering bermain gitar
he rested for a while	dia beristirahat sebentar
he seems to be honest	dia terlihat jujur
he will probably fail	dia mungkin akan gagal
he works in a factory	dia bekerja pada sebuah pabrik
he works in a factory	dia bekerja di sebuah pabrik
he s eating lunch now	dia sedang makan siang sekarang
he s my older brother	dia kakakku
he s not my boyfriend	dia bukan pacarku
he s smarter than her	dia lebih pintar daripada dia
he s very intelligent	dia sangat pintar
hello how s business	halo bagaimana bisnismu
hi how are you doing	hai bagaimana kabarmu
his dad calls him tom	ayahnya memanggilnya tom
how high can you jump	seberapa tinggi kamu dapat melompat
how long did you stay	berapa lama kamu menginap
how long does it take	butuh waktu berapa lama
how long does it take	akan memakan waktu berapa lama
how long will it take	berapa lama waktu yang dibutuhkan
how many do they need	berapa banyak yang mereka butuhkan
how much does it cost	berapa harganya
how much is rye flour	berapa harga tepung gandum
how much is this ring	cincin ini berapa harganya
how was the honeymoon	bagaimana bulan madunya
how was your vacation	bagaimana liburan anda
i accept your apology	aku menerima permintaan maafmu
i admire your courage	aku memuji keberanianmu
i bought a new camera	saya membeli kamera baru
i came here on my own	aku datang ke sini sendiri
i can t eat chocolate	saya tidak boleh makan cokelat
i can t take any more	aku tidak tahan lagi
i can t take any more	aku sudah tak mampu menahannya lagi
i can t take any more	aku sudah tidak tahan lagi
i come from australia	saya datang dari australia
i didn t get anything	aku enggak dapat apa apa
i didn t kill anybody	saya tidak membunuh siapa pun
i didn t see anything	aku tidak melihat apa apa
i didn t study at all	aku tidak belajar sama sekali
i don t care for eggs	aku tidak suka telur
i don t even know him	aku bahkan tidak mengenalnya
i don t have anything	aku tidak punya apa apa
i don t know for sure	aku tidak tahu pastinya
i don t like raw fish	saya tidak suka ikan mentah
i don t like red wine	aku tidak suka anggur merah
i don t like red wine	saya tidak suka anggur merah
i don t like the dark	saya tidak suka kegelapan
i don t like the dark	aku tidak suka kegelapan
i don t like this one	saya tidak suka yang ini
i don t need anything	saya tidak butuh apa pun
i don t need your job	saya tidak butuh pekerjaanmu
i don t often eat out	saya jarang makan diluar
i don t remember that	saya tidak ingat itu
i don t want any more	saya tidak mau lagi
i feel so happy today	aku merasa sangat bahagia hari ini
i go to bed about ten	aku pergi tidur sekitar jam
i got bitten by a dog	aku digigit anjing
i had my watch stolen	arloji saya dicuri
i had to go back home	aku harus pulang
i have a bad headache	saya menderita sakit kepala yang parah
i have a few theories	aku punya beberapa teori
i have a half brother	saya punya kakak tiri
i have a half brother	saya punya adik tiri
i have a twin brother	aku punya saudara kembar kakak laki laki
i have a twin brother	aku punya saudara kembar adik laki laki
i have life insurance	saya punya asuransi jiwa
i have three children	saya punya tiga anak
i have to go to sleep	aku harus pergi tidur
i have to wash my car	saya harus mencuci mobil saya
i honestly don t care	sejujurnya saya tidak peduli
i hope no one sees us	aku harap tidak ada yang melihat kita
i know tom is fishing	aku tahu tom sedang memancing
i know what tom likes	aku tahu apa yang tom sukai
i know you are clever	aku tau kamu itu cerdik
i met her an hour ago	aku bertemu dengannya sejam yang lalu
i met her by accident	aku tidak sengaja bertemu dengannya
i must hurry to class	aku harus segera pergi ke kelas
i need tom in my life	aku membutuhkan tom dalam hidupku
i need to do this now	aku harus melakukan ini sekarang
i need to do this now	saya harus melakukan ini sekarang
i need to get a stamp	aku butuh perangko
i need to warn my mom	aku harus memperingatkan ibuku
i no longer want that	aku tidak lagi menginginkan itu
i owe you ten dollars	aku berhutang dolar padamu
i ran a race with him	aku berbalapan lari dengannya
i really want to know	aku benar benar ingin tahu
i remember this place	aku ingat tempat ini
i said that as a joke	itu tadi bercanda
i saw tom in the hall	aku melihat tom di aula
i saw tom in the hall	aku melihat tom di lorong
i saw you in my dream	aku melihatmu dalam mimpiku
i think i smell smoke	saya rasa saya mencium bau asap
i think they re ready	aku rasa mereka siap
i think you should go	aku rasa kamu harus pergi
i thought he was sick	kukira dia sakit
i thought he was sick	aku kira dia sakit
i thought it was true	aku kira itu benar adanya
i usually eat outside	aku biasanya makan di luar
i want to be a doctor	aku ingin menjadi dokter
i want to be a doctor	saya ingin menjadi seorang dokter
i want to go with you	saya ingin pergi dengan anda
i want to go with you	aku ingin pergi bersamamu
